CENSUS TRACT,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,SEX OFFENSE,STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,TOTAL
Census Tract 101,9.0,683.0,1.0,0.0,276.0,39.0,7.0,70.0,35.0,15.0,5.0,4.0,84.0,212.0,3.0,20.0,3666.0,9.0,2.0,127.0,1305.0,675.0,0.0,6.0,23.0,119.0,10.0,79.0,31.0,71.0,0.0,279.0,2.0,71.0,510.0,190.0,237.0,46.0,8921
Census Tract 102,5.0,216.0,1.0,2.0,262.0,9.0,8.0,43.0,12.0,4.0,0.0,1.0,24.0,54.0,1.0,10.0,1643.0,1.0,1.0,46.0,416.0,350.0,0.0,1.0,10.0,63.0,4.0,28.0,18.0,38.0,1.0,100.0,0.0,22.0,268.0,162.0,77.0,22.0,3923
Census Tract 103,1.0,96.0,1.0,0.0,103.0,6.0,2.0,10.0,5.0,2.0,0.0,0.0,15.0,17.0,0.0,4.0,450.0,0.0,1.0,26.0,177.0,139.0,0.0,1.0,14.0,26.0,0.0,20.0,9.0,14.0,2.0,60.0,0.0,9.0,102.0,109.0,16.0,10.0,1447
Census Tract 104,3.0,118.0,0.0,2.0,171.0,7.0,5.0,16.0,7.0,3.0,2.0,1.0,14.0,26.0,0.0,7.0,397.0,4.0,0.0,16.0,196.0,174.0,1.0,1.0,7.0,54.0,1.0,25.0,8.0,13.0,1.0,89.0,0.0,23.0,173.0,100.0,42.0,4.0,1711
Census Tract 105,8.0,322.0,1.0,1.0,243.0,15.0,26.0,56.0,20.0,19.0,0.0,1.0,40.0,122.0,0.0,13.0,2431.0,3.0,9.0,64.0,726.0,738.0,0.0,0.0,17.0,83.0,2.0,26.0,19.0,45.0,5.0,173.0,0.0,89.0,292.0,112.0,160.0,18.0,5899
Census Tract 106,4.0,680.0,1.0,0.0,111.0,63.0,31.0,133.0,132.0,6.0,1.0,0.0,24.0,67.0,0.0,11.0,712.0,33.0,3.0,49.0,588.0,845.0,0.0,2.0,21.0,107.0,2.0,62.0,19.0,29.0,6.0,227.0,0.0,29.0,192.0,92.0,230.0,81.0,4593
Census Tract 107,5.0,392.0,4.0,2.0,78.0,20.0,32.0,64.0,40.0,2.0,4.0,1.0,28.0,184.0,2.0,10.0,654.0,13.0,2.0,131.0,912.0,876.0,0.0,3.0,12.0,104.0,3.0,60.0,18.0,11.0,0.0,183.0,0.0,9.0,215.0,81.0,134.0,31.0,4320
Census Tract 108,2.0,71.0,0.0,0.0,99.0,2.0,2.0,24.0,1.0,1.0,1.0,1.0,8.0,25.0,0.0,2.0,229.0,0.0,0.0,20.0,125.0,128.0,0.0,0.0,6.0,41.0,1.0,12.0,4.0,5.0,2.0,42.0,0.0,7.0,88.0,150.0,18.0,3.0,1120
Census Tract 109,1.0,146.0,2.0,0.0,178.0,6.0,3.0,45.0,6.0,2.0,0.0,0.0,18.0,49.0,0.0,3.0,544.0,1.0,0.0,25.0,275.0,254.0,0.0,16.0,5.0,38.0,0.0,25.0,9.0,15.0,4.0,88.0,0.0,14.0,120.0,132.0,48.0,8.0,2080
Census Tract 110,3.0,136.0,1.0,0.0,162.0,9.0,5.0,37.0,13.0,1.0,0.0,0.0,24.0,46.0,0.0,6.0,472.0,4.0,0.0,28.0,252.0,208.0,0.0,18.0,6.0,54.0,2.0,20.0,7.0,13.0,1.0,101.0,0.0,15.0,107.0,115.0,74.0,7.0,1947
Census Tract 111,2.0,464.0,4.0,1.0,249.0,32.0,19.0,209.0,16.0,6.0,1.0,1.0,67.0,113.0,0.0,23.0,1098.0,6.0,10.0,116.0,602.0,561.0,0.0,571.0,13.0,129.0,1.0,51.0,49.0,41.0,3.0,199.0,0.0,52.0,249.0,178.0,317.0,24.0,5477
Census Tract 112,2.0,108.0,1.0,0.0,133.0,3.0,4.0,17.0,2.0,3.0,1.0,0.0,5.0,29.0,0.0,5.0,327.0,1.0,0.0,27.0,164.0,120.0,0.0,0.0,4.0,31.0,0.0,12.0,7.0,8.0,4.0,63.0,0.0,17.0,108.0,118.0,24.0,6.0,1354
Census Tract 113,2.0,133.0,0.0,1.0,55.0,8.0,1.0,10.0,1.0,3.0,1.0,0.0,10.0,37.0,1.0,3.0,366.0,0.0,0.0,55.0,238.0,148.0,0.0,0.0,4.0,31.0,1.0,15.0,5.0,2.0,1.0,60.0,0.0,7.0,137.0,42.0,21.0,4.0,1403
Census Tract 117,28.0,1160.0,20.0,0.0,1136.0,122.0,33.0,317.0,77.0,97.0,12.0,3.0,291.0,687.0,4.0,26.0,7764.0,15.0,11.0,172.0,2141.0,2238.0,0.0,17.0,43.0,530.0,4.0,90.0,56.0,165.0,3.0,641.0,1.0,257.0,701.0,312.0,819.0,75.0,20068
Census Tract 118,2.0,81.0,1.0,0.0,54.0,4.0,2.0,8.0,3.0,1.0,9.0,0.0,11.0,24.0,2.0,4.0,206.0,0.0,0.0,13.0,113.0,121.0,0.0,0.0,4.0,27.0,0.0,5.0,11.0,5.0,1.0,43.0,0.0,8.0,53.0,19.0,11.0,6.0,852
Census Tract 119.01,0.0,88.0,0.0,0.0,47.0,3.0,2.0,9.0,1.0,3.0,1.0,0.0,7.0,26.0,0.0,5.0,178.0,0.0,0.0,11.0,110.0,90.0,0.0,1.0,8.0,18.0,0.0,24.0,4.0,8.0,0.0,34.0,0.0,9.0,66.0,69.0,16.0,0.0,838
Census Tract 119.02,3.0,80.0,1.0,0.0,75.0,2.0,3.0,30.0,1.0,1.0,2.0,1.0,15.0,27.0,0.0,4.0,283.0,1.0,0.0,14.0,148.0,127.0,0.0,4.0,7.0,26.0,0.0,16.0,7.0,13.0,2.0,49.0,0.0,11.0,65.0,76.0,30.0,3.0,1127
Census Tract 120,15.0,438.0,2.0,0.0,201.0,30.0,17.0,452.0,23.0,3.0,0.0,0.0,31.0,90.0,0.0,7.0,1218.0,8.0,4.0,91.0,636.0,598.0,0.0,458.0,17.0,133.0,1.0,48.0,32.0,49.0,2.0,182.0,0.0,29.0,223.0,125.0,369.0,50.0,5582
Census Tract 121,2.0,322.0,2.0,1.0,189.0,13.0,7.0,84.0,15.0,6.0,2.0,0.0,47.0,99.0,0.0,17.0,938.0,5.0,1.0,48.0,482.0,384.0,0.0,6.0,12.0,108.0,1.0,50.0,27.0,29.0,4.0,169.0,0.0,31.0,179.0,88.0,109.0,15.0,3492
Census Tract 122.01,7.0,695.0,0.0,1.0,154.0,35.0,8.0,996.0,23.0,1.0,2.0,1.0,31.0,78.0,0.0,24.0,669.0,8.0,4.0,66.0,570.0,1046.0,0.0,382.0,20.0,258.0,1.0,99.0,42.0,41.0,2.0,278.0,0.0,56.0,225.0,69.0,385.0,74.0,6351
Census Tract 122.02,14.0,806.0,3.0,1.0,122.0,29.0,20.0,941.0,28.0,9.0,1.0,0.0,59.0,94.0,0.0,25.0,1050.0,6.0,3.0,70.0,661.0,1000.0,0.0,94.0,32.0,244.0,0.0,77.0,51.0,56.0,3.0,236.0,0.0,43.0,251.0,95.0,532.0,75.0,6731
Census Tract 123.01,8.0,1029.0,2.0,4.0,206.0,119.0,14.0,1709.0,104.0,12.0,0.0,2.0,53.0,160.0,0.0,36.0,1441.0,16.0,27.0,136.0,1256.0,1525.0,0.0,14.0,29.0,248.0,1.0,103.0,70.0,37.0,1.0,312.0,0.0,230.0,166.0,141.0,779.0,86.0,10076
Census Tract 123.02,7.0,622.0,0.0,5.0,195.0,112.0,12.0,308.0,44.0,7.0,1.0,6.0,43.0,163.0,1.0,20.0,1434.0,5.0,31.0,82.0,925.0,655.0,0.0,10.0,16.0,164.0,0.0,50.0,40.0,38.0,5.0,234.0,0.0,183.0,178.0,65.0,288.0,42.0,5991
Census Tract 124.01,6.0,1401.0,3.0,2.0,184.0,156.0,22.0,3626.0,77.0,8.0,3.0,11.0,60.0,121.0,0.0,44.0,729.0,24.0,29.0,239.0,1225.0,2497.0,1.0,7.0,26.0,411.0,1.0,208.0,56.0,41.0,14.0,540.0,0.0,160.0,241.0,65.0,1287.0,157.0,13682
Census Tract 124.02,13.0,1479.0,1.0,4.0,230.0,363.0,33.0,2211.0,84.0,16.0,3.0,5.0,155.0,258.0,0.0,31.0,2719.0,34.0,92.0,199.0,1956.0,2616.0,0.0,15.0,33.0,557.0,5.0,167.0,70.0,131.0,2.0,536.0,1.0,431.0,456.0,186.0,1288.0,153.0,16533
Census Tract 125.01,16.0,1796.0,5.0,6.0,285.0,277.0,34.0,4310.0,246.0,9.0,0.0,7.0,209.0,362.0,3.0,44.0,1827.0,101.0,50.0,142.0,2090.0,3408.0,1.0,8.0,52.0,572.0,1.0,174.0,56.0,138.0,7.0,675.0,0.0,325.0,374.0,96.0,1749.0,244.0,19699
Census Tract 125.02,12.0,1104.0,0.0,2.0,83.0,174.0,25.0,2410.0,76.0,4.0,1.0,4.0,36.0,82.0,0.0,52.0,492.0,29.0,39.0,182.0,1525.0,2122.0,0.0,5.0,13.0,229.0,0.0,121.0,38.0,34.0,6.0,470.0,0.0,181.0,191.0,50.0,947.0,108.0,10847
Census Tract 126.01,0.0,34.0,1.0,0.0,88.0,0.0,0.0,5.0,3.0,3.0,0.0,0.0,11.0,28.0,0.0,1.0,222.0,0.0,0.0,7.0,67.0,61.0,0.0,0.0,2.0,31.0,0.0,11.0,1.0,8.0,0.0,24.0,0.0,2.0,42.0,28.0,19.0,4.0,703
Census Tract 126.02,6.0,90.0,0.0,0.0,134.0,2.0,4.0,33.0,2.0,2.0,0.0,1.0,12.0,37.0,0.0,2.0,582.0,0.0,0.0,18.0,212.0,156.0,0.0,0.0,7.0,13.0,3.0,11.0,1.0,11.0,1.0,51.0,0.0,5.0,91.0,94.0,36.0,11.0,1628
Census Tract 127,2.0,48.0,0.0,0.0,94.0,1.0,1.0,9.0,0.0,2.0,0.0,0.0,14.0,21.0,0.0,3.0,468.0,0.0,0.0,18.0,124.0,102.0,0.0,0.0,7.0,21.0,0.0,17.0,5.0,2.0,0.0,47.0,0.0,6.0,64.0,55.0,11.0,3.0,1145
Census Tract 128,4.0,304.0,1.0,1.0,232.0,8.0,21.0,71.0,19.0,9.0,3.0,1.0,21.0,95.0,0.0,5.0,1295.0,3.0,0.0,46.0,454.0,503.0,0.0,11.0,16.0,74.0,0.0,30.0,10.0,32.0,0.0,165.0,0.0,19.0,187.0,129.0,95.0,15.0,3879
Census Tract 129.01,1.0,60.0,0.0,0.0,121.0,0.0,9.0,27.0,3.0,1.0,0.0,0.0,8.0,19.0,0.0,2.0,307.0,1.0,1.0,21.0,122.0,132.0,0.0,4.0,2.0,15.0,0.0,13.0,5.0,9.0,0.0,33.0,0.0,6.0,74.0,62.0,18.0,8.0,1084
Census Tract 129.02,2.0,192.0,0.0,0.0,201.0,6.0,6.0,63.0,7.0,2.0,1.0,0.0,14.0,51.0,0.0,7.0,675.0,3.0,1.0,32.0,236.0,194.0,0.0,4.0,5.0,48.0,0.0,24.0,5.0,19.0,0.0,77.0,0.0,16.0,126.0,113.0,54.0,20.0,2204
Census Tract 130,1.0,191.0,4.0,0.0,321.0,1.0,5.0,47.0,17.0,7.0,0.0,1.0,29.0,97.0,0.0,6.0,713.0,4.0,1.0,15.0,258.0,308.0,0.0,0.0,13.0,56.0,0.0,22.0,13.0,28.0,2.0,118.0,0.0,11.0,167.0,148.0,44.0,9.0,2657
Census Tract 131.01,0.0,73.0,1.0,0.0,207.0,9.0,4.0,31.0,3.0,5.0,1.0,0.0,26.0,35.0,0.0,8.0,410.0,0.0,2.0,16.0,131.0,164.0,0.0,52.0,5.0,35.0,0.0,14.0,10.0,14.0,2.0,55.0,0.0,8.0,96.0,96.0,47.0,6.0,1566
Census Tract 131.02,0.0,42.0,0.0,0.0,128.0,3.0,2.0,17.0,2.0,3.0,0.0,0.0,10.0,23.0,0.0,1.0,294.0,0.0,0.0,23.0,105.0,108.0,0.0,1.0,5.0,9.0,0.0,11.0,5.0,13.0,0.0,36.0,0.0,7.0,69.0,80.0,19.0,2.0,1018
Census Tract 132,1.0,47.0,0.0,0.0,178.0,3.0,5.0,13.0,2.0,1.0,0.0,0.0,15.0,27.0,0.0,1.0,414.0,0.0,0.0,13.0,135.0,158.0,0.0,0.0,15.0,20.0,0.0,12.0,12.0,10.0,1.0,91.0,0.0,18.0,106.0,123.0,22.0,2.0,1445
Census Tract 133,1.0,94.0,0.0,0.0,136.0,2.0,9.0,17.0,4.0,0.0,1.0,2.0,14.0,55.0,0.0,1.0,377.0,0.0,0.0,52.0,216.0,159.0,0.0,0.0,5.0,14.0,0.0,18.0,8.0,8.0,2.0,123.0,0.0,15.0,96.0,96.0,14.0,6.0,1545
Census Tract 134,1.0,55.0,0.0,0.0,143.0,1.0,17.0,19.0,4.0,2.0,0.0,1.0,11.0,23.0,0.0,4.0,355.0,0.0,0.0,14.0,118.0,142.0,0.0,0.0,7.0,29.0,0.0,9.0,3.0,9.0,0.0,64.0,0.0,4.0,69.0,102.0,14.0,6.0,1226
Census Tract 135,2.0,143.0,1.0,0.0,177.0,4.0,6.0,15.0,1.0,9.0,1.0,3.0,47.0,44.0,0.0,2.0,580.0,1.0,1.0,174.0,275.0,167.0,0.0,2.0,6.0,28.0,2.0,13.0,10.0,26.0,3.0,114.0,0.0,16.0,85.0,80.0,37.0,5.0,2080
Census Tract 151,10.0,167.0,2.0,0.0,138.0,23.0,10.0,117.0,8.0,6.0,1.0,0.0,23.0,79.0,1.0,5.0,1293.0,3.0,28.0,30.0,322.0,488.0,0.0,65.0,13.0,89.0,1.0,19.0,9.0,33.0,3.0,102.0,0.0,59.0,183.0,94.0,153.0,16.0,3593
Census Tract 152,1.0,127.0,2.0,0.0,221.0,7.0,3.0,22.0,4.0,4.0,1.0,0.0,13.0,60.0,0.0,8.0,847.0,2.0,0.0,35.0,218.0,213.0,0.0,2.0,6.0,37.0,0.0,20.0,11.0,11.0,1.0,97.0,0.0,23.0,136.0,176.0,40.0,9.0,2357
Census Tract 153,1.0,65.0,1.0,0.0,93.0,4.0,19.0,29.0,1.0,1.0,2.0,1.0,9.0,35.0,0.0,2.0,441.0,1.0,0.0,14.0,102.0,178.0,0.0,1.0,8.0,42.0,0.0,6.0,8.0,8.0,1.0,54.0,0.0,7.0,99.0,99.0,31.0,10.0,1373
Census Tract 154,2.0,157.0,4.0,0.0,178.0,2.0,19.0,40.0,5.0,4.0,2.0,3.0,46.0,63.0,0.0,6.0,531.0,1.0,0.0,86.0,235.0,329.0,0.0,0.0,7.0,56.0,31.0,29.0,15.0,15.0,2.0,149.0,0.0,14.0,189.0,118.0,39.0,23.0,2400
Census Tract 155,4.0,267.0,0.0,1.0,194.0,8.0,12.0,61.0,8.0,5.0,2.0,0.0,41.0,85.0,0.0,8.0,1237.0,2.0,0.0,70.0,420.0,347.0,0.0,0.0,10.0,123.0,1.0,44.0,23.0,26.0,3.0,123.0,0.0,20.0,217.0,103.0,75.0,37.0,3577
Census Tract 156,0.0,64.0,0.0,1.0,94.0,4.0,16.0,22.0,5.0,2.0,1.0,0.0,17.0,35.0,0.0,4.0,279.0,1.0,0.0,33.0,136.0,166.0,0.0,0.0,5.0,26.0,2.0,14.0,5.0,7.0,0.0,59.0,0.0,7.0,79.0,64.0,22.0,6.0,1176
Census Tract 157,4.0,227.0,1.0,0.0,261.0,6.0,21.0,84.0,7.0,7.0,0.0,2.0,43.0,79.0,0.0,7.0,1287.0,3.0,0.0,451.0,359.0,440.0,0.0,0.0,16.0,106.0,60.0,44.0,18.0,29.0,0.0,132.0,0.0,26.0,221.0,243.0,116.0,24.0,4324
Census Tract 158.01,4.0,373.0,1.0,3.0,176.0,8.0,18.0,115.0,8.0,3.0,0.0,3.0,23.0,51.0,0.0,10.0,667.0,4.0,1.0,160.0,289.0,573.0,0.0,0.0,12.0,174.0,14.0,95.0,34.0,15.0,1.0,174.0,0.0,24.0,245.0,138.0,112.0,55.0,3583
