GEOID,ARSON,ASSAULT OFFENSES,BAD CHECKS,BRIBERY,BURGLARY/BREAKING&ENTERING,COUNTERFEITING/FORGERY,CURFEW/LOITERING/VAGRANCY VIOLATIONS,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC OFFENSES,EMBEZZLEMENT,EXTORTION/BLACKMAIL,"FAMILY OFFENSES, NONVIOLENT",FRAUD OFFENSES,GAMBLING OFFENSES,HOMICIDE OFFENSES,HUMAN TRAFFICKING,KIDNAPPING/ABDUCTION,LARCENY-THEFT,LIQUOR LAW VIOLATIONS,MOTOR VEHICLE THEFT,PEEPING TOM,PORNOGRAPHY/OBSCENE MATERIAL,PROSTITUTION OFFENSES,ROBBERY,SEX OFFENSES,"SEX OFFENSES, CONSENSUAL",STOLEN PROPERTY OFFENSES,TRESPASS OF REAL PROPERTY,WEAPON LAW VIOLATIONS,TOTAL
53033000100,6.0,708.0,51.0,0.0,439.0,32.0,1.0,354.0,47.0,85.0,10.0,6.0,0.0,235.0,0.0,0.0,0.0,0.0,1113.0,7.0,300.0,0.0,0.0,1.0,96.0,0.0,0.0,28.0,260.0,36.0,3815
53033000200,2.0,324.0,26.0,0.0,317.0,5.0,0.0,205.0,31.0,27.0,5.0,2.0,0.0,188.0,0.0,0.0,0.0,0.0,681.0,1.0,168.0,0.0,0.0,0.0,22.0,0.0,0.0,7.0,74.0,11.0,2096
53033000300,0.0,153.0,12.0,0.0,176.0,12.0,0.0,125.0,17.0,24.0,3.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,402.0,1.0,99.0,0.0,1.0,59.0,16.0,0.0,0.0,8.0,38.0,13.0,1229
53033000401,5.0,375.0,24.0,0.0,391.0,12.0,0.0,199.0,37.0,25.0,1.0,2.0,0.0,143.0,0.0,0.0,0.0,0.0,632.0,3.0,178.0,0.0,1.0,4.0,34.0,0.0,0.0,4.0,52.0,12.0,2134
53033000402,0.0,150.0,13.0,0.0,227.0,13.0,1.0,137.0,30.0,17.0,2.0,1.0,0.0,119.0,0.0,0.0,0.0,0.0,552.0,1.0,120.0,0.0,0.0,4.0,16.0,0.0,0.0,12.0,36.0,10.0,1461
53033000500,1.0,43.0,8.0,0.0,96.0,4.0,0.0,43.0,6.0,11.0,1.0,2.0,0.0,81.0,0.0,0.0,0.0,0.0,292.0,1.0,23.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,11.0,4.0,632
53033000600,7.0,927.0,38.0,0.0,492.0,71.0,4.0,502.0,89.0,234.0,16.0,4.0,0.0,335.0,0.0,0.0,0.0,0.0,2186.0,10.0,324.0,0.0,2.0,481.0,168.0,0.0,0.0,66.0,341.0,80.0,6377
53033000700,0.0,321.0,13.0,0.0,261.0,44.0,1.0,212.0,39.0,40.0,6.0,2.0,0.0,151.0,0.0,0.0,0.0,0.0,633.0,2.0,174.0,0.0,1.0,1.0,45.0,0.0,0.0,19.0,149.0,16.0,2130
53033000800,1.0,72.0,10.0,0.0,101.0,1.0,0.0,81.0,7.0,6.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,206.0,1.0,20.0,0.0,1.0,0.0,9.0,0.0,0.0,2.0,14.0,1.0,602
53033000900,0.0,34.0,2.0,0.0,68.0,1.0,0.0,26.0,9.0,1.0,1.0,1.0,0.0,47.0,0.0,0.0,0.0,0.0,151.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,369
53033001000,1.0,119.0,7.0,0.0,101.0,6.0,0.0,73.0,11.0,2.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,163.0,1.0,21.0,0.0,0.0,1.0,11.0,0.0,0.0,3.0,20.0,6.0,584
53033001100,3.0,96.0,8.0,0.0,173.0,2.0,0.0,58.0,17.0,13.0,2.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,197.0,0.0,52.0,0.0,0.0,3.0,11.0,0.0,0.0,1.0,21.0,3.0,717
53033001200,7.0,754.0,60.0,0.0,485.0,86.0,1.0,395.0,71.0,131.0,49.0,6.0,0.0,419.0,0.0,0.0,0.0,0.0,3945.0,3.0,614.0,0.0,0.0,12.0,262.0,0.0,0.0,49.0,342.0,47.0,7738
53033001300,6.0,522.0,23.0,1.0,295.0,46.0,0.0,282.0,85.0,200.0,6.0,4.0,0.0,195.0,0.0,0.0,0.0,0.0,1149.0,8.0,231.0,0.0,2.0,171.0,98.0,0.0,0.0,51.0,208.0,31.0,3614
53033001400,4.0,233.0,25.0,0.0,308.0,39.0,1.0,209.0,64.0,20.0,2.0,1.0,0.0,111.0,0.0,0.0,0.0,0.0,663.0,6.0,140.0,0.0,0.0,1.0,32.0,0.0,0.0,9.0,78.0,10.0,1956
53033001500,2.0,33.0,3.0,0.0,48.0,1.0,0.0,41.0,6.0,5.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,143.0,0.0,27.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,5.0,1.0,382
53033001600,4.0,188.0,11.0,0.0,155.0,16.0,0.0,156.0,25.0,18.0,7.0,3.0,0.0,101.0,0.0,0.0,0.0,0.0,460.0,3.0,58.0,0.0,0.0,2.0,37.0,0.0,0.0,3.0,33.0,10.0,1290
53033001701,4.0,358.0,19.0,0.0,349.0,15.0,1.0,264.0,42.0,65.0,3.0,3.0,0.0,149.0,0.0,0.0,0.0,0.0,1068.0,1.0,221.0,0.0,1.0,2.0,61.0,0.0,0.0,17.0,132.0,25.0,2800
53033001702,1.0,185.0,24.0,0.0,165.0,5.0,0.0,156.0,27.0,24.0,2.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,492.0,2.0,122.0,0.0,0.0,1.0,9.0,0.0,0.0,11.0,36.0,6.0,1351
53033001800,5.0,441.0,11.0,0.0,293.0,34.0,1.0,272.0,67.0,216.0,5.0,1.0,0.0,110.0,0.0,0.0,0.0,0.0,1111.0,4.0,198.0,0.0,1.0,120.0,63.0,0.0,0.0,67.0,228.0,39.0,3287
53033001900,3.0,124.0,13.0,0.0,179.0,5.0,0.0,97.0,6.0,11.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,500.0,0.0,117.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,36.0,5.0,1227
53033002000,2.0,57.0,10.0,0.0,150.0,2.0,0.0,76.0,11.0,7.0,1.0,2.0,0.0,79.0,0.0,0.0,0.0,0.0,374.0,2.0,96.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,7.0,6.0,888
53033002100,1.0,102.0,10.0,0.0,165.0,0.0,0.0,84.0,12.0,5.0,0.0,2.0,0.0,72.0,0.0,0.0,0.0,0.0,258.0,0.0,76.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,13.0,1.0,813
53033002200,0.0,60.0,12.0,0.0,169.0,8.0,0.0,60.0,7.0,2.0,0.0,3.0,0.0,188.0,0.0,0.0,0.0,0.0,329.0,0.0,46.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,6.0,0.0,899
53033002400,0.0,59.0,6.0,0.0,133.0,3.0,0.0,42.0,5.0,2.0,2.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,174.0,0.0,32.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,11.0,1.0,563
53033002500,3.0,56.0,4.0,0.0,162.0,3.0,0.0,53.0,9.0,10.0,1.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,271.0,0.0,83.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,14.0,6.0,758
53033002600,5.0,146.0,13.0,0.0,291.0,6.0,0.0,135.0,39.0,15.0,4.0,1.0,0.0,135.0,0.0,0.0,0.0,0.0,654.0,0.0,174.0,0.0,0.0,0.0,31.0,0.0,0.0,6.0,48.0,7.0,1710
53033002700,2.0,183.0,11.0,0.0,296.0,20.0,0.0,182.0,54.0,41.0,3.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,1054.0,1.0,205.0,0.0,0.0,6.0,30.0,0.0,0.0,19.0,96.0,9.0,2376
53033002800,6.0,131.0,7.0,0.0,236.0,5.0,1.0,125.0,28.0,13.0,3.0,1.0,0.0,113.0,0.0,0.0,0.0,0.0,678.0,4.0,147.0,0.0,0.0,0.0,26.0,0.0,0.0,7.0,52.0,4.0,1587
53033002900,1.0,46.0,8.0,0.0,135.0,3.0,0.0,56.0,11.0,4.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,399.0,0.0,117.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,12.0,3.0,903
53033003000,2.0,163.0,14.0,0.0,289.0,11.0,1.0,189.0,27.0,16.0,3.0,1.0,0.0,136.0,0.0,0.0,0.0,0.0,938.0,1.0,143.0,0.0,0.0,0.0,27.0,0.0,0.0,5.0,54.0,10.0,2030
53033003100,2.0,156.0,13.0,0.0,253.0,1.0,0.0,148.0,30.0,5.0,3.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,835.0,10.0,144.0,0.0,0.0,0.0,21.0,0.0,0.0,4.0,20.0,10.0,1789
53033003200,2.0,178.0,15.0,0.0,373.0,4.0,0.0,192.0,30.0,11.0,2.0,1.0,0.0,170.0,0.0,0.0,0.0,0.0,865.0,0.0,207.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,71.0,6.0,2146
53033003300,1.0,164.0,16.0,0.0,253.0,7.0,1.0,183.0,30.0,16.0,5.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,798.0,2.0,205.0,0.0,2.0,0.0,20.0,0.0,0.0,8.0,62.0,6.0,1894
53033003400,0.0,68.0,5.0,0.0,98.0,11.0,0.0,86.0,12.0,8.0,0.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,451.0,4.0,99.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,18.0,4.0,938
53033003500,2.0,85.0,11.0,0.0,162.0,2.0,0.0,84.0,29.0,10.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,553.0,1.0,117.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,19.0,0.0,1164
53033003600,4.0,236.0,15.0,0.0,461.0,9.0,0.0,219.0,34.0,12.0,3.0,4.0,0.0,136.0,0.0,0.0,0.0,0.0,1345.0,1.0,333.0,0.0,1.0,0.0,31.0,0.0,0.0,7.0,82.0,13.0,2946
53033003800,0.0,22.0,3.0,0.0,65.0,1.0,0.0,31.0,5.0,0.0,0.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,131.0,1.0,38.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,355
53033003900,1.0,47.0,1.0,0.0,108.0,11.0,0.0,41.0,4.0,4.0,2.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,232.0,1.0,43.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,8.0,1.0,592
53033004000,6.0,205.0,6.0,0.0,145.0,5.0,0.0,169.0,25.0,10.0,2.0,2.0,0.0,109.0,0.0,0.0,0.0,0.0,502.0,4.0,62.0,0.0,0.0,0.0,29.0,0.0,0.0,6.0,17.0,8.0,1312
53033004100,2.0,36.0,4.0,0.0,231.0,2.0,0.0,65.0,11.0,7.0,1.0,4.0,0.0,253.0,0.0,0.0,0.0,0.0,466.0,0.0,56.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,13.0,2.0,1157
53033004200,1.0,203.0,14.0,0.0,304.0,8.0,0.0,162.0,17.0,2.0,3.0,3.0,0.0,200.0,0.0,0.0,0.0,0.0,663.0,1.0,133.0,0.0,1.0,0.0,20.0,0.0,0.0,3.0,27.0,3.0,1768
53033004301,2.0,157.0,15.0,0.0,182.0,19.0,0.0,130.0,13.0,5.0,4.0,1.0,0.0,179.0,0.0,0.0,0.0,0.0,1257.0,2.0,111.0,0.0,1.0,0.0,46.0,0.0,0.0,7.0,53.0,9.0,2193
53033004302,1.0,80.0,14.0,0.0,271.0,1.0,0.0,90.0,5.0,3.0,0.0,3.0,0.0,70.0,0.0,0.0,0.0,0.0,391.0,0.0,131.0,0.0,0.0,0.0,14.0,0.0,0.0,3.0,24.0,7.0,1108
53033004400,4.0,384.0,20.0,0.0,618.0,16.0,1.0,395.0,40.0,43.0,6.0,7.0,0.0,193.0,0.0,0.0,0.0,0.0,1601.0,2.0,328.0,0.0,0.0,1.0,90.0,0.0,0.0,14.0,133.0,21.0,3917
53033004500,1.0,66.0,4.0,0.0,106.0,3.0,1.0,82.0,11.0,10.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,376.0,5.0,88.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,26.0,7.0,851
53033004600,4.0,85.0,8.0,0.0,162.0,4.0,0.0,102.0,12.0,7.0,1.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,920.0,3.0,123.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,25.0,7.0,1586
53033004700,13.0,1019.0,38.0,0.0,912.0,57.0,7.0,602.0,121.0,99.0,12.0,3.0,0.0,369.0,0.0,0.0,0.0,0.0,2786.0,11.0,428.0,0.0,0.0,0.0,164.0,0.0,0.0,45.0,390.0,54.0,7130
53033004800,5.0,112.0,7.0,0.0,273.0,8.0,3.0,177.0,46.0,29.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,823.0,1.0,188.0,0.0,0.0,0.0,15.0,0.0,0.0,14.0,35.0,11.0,1844
53033004900,6.0,362.0,19.0,0.0,523.0,14.0,0.0,318.0,61.0,27.0,3.0,1.0,0.0,180.0,0.0,0.0,0.0,0.0,1425.0,3.0,312.0,0.0,0.0,0.0,42.0,0.0,0.0,15.0,110.0,20.0,3441
53033005000,3.0,156.0,7.0,0.0,272.0,3.0,2.0,147.0,16.0,18.0,3.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,642.0,0.0,140.0,0.0,0.0,0.0,24.0,0.0,0.0,5.0,75.0,7.0,1595
53033005100,0.0,143.0,10.0,0.0,227.0,10.0,1.0,134.0,18.0,7.0,0.0,2.0,0.0,110.0,0.0,0.0,0.0,0.0,685.0,2.0,130.0,0.0,0.0,0.0,26.0,0.0,0.0,5.0,49.0,5.0,1564
53033005200,10.0,297.0,18.0,0.0,622.0,48.0,0.0,330.0,36.0,25.0,1.0,6.0,0.0,173.0,0.0,0.0,0.0,0.0,1118.0,1.0,258.0,0.0,0.0,1.0,22.0,0.0,0.0,11.0,115.0,24.0,3116
53033005301,9.0,987.0,41.0,0.0,859.0,28.0,8.0,603.0,35.0,122.0,6.0,10.0,0.0,318.0,0.0,0.0,0.0,0.0,2635.0,7.0,206.0,0.0,1.0,207.0,190.0,0.0,0.0,22.0,480.0,78.0,6852
53033005302,2.0,61.0,1.0,0.0,40.0,2.0,0.0,30.0,16.0,0.0,1.0,1.0,0.0,43.0,0.0,0.0,0.0,0.0,240.0,2.0,19.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,25.0,4.0,504
53033005400,2.0,190.0,15.0,0.0,503.0,4.0,0.0,208.0,18.0,14.0,3.0,3.0,0.0,137.0,0.0,0.0,0.0,0.0,1116.0,3.0,229.0,0.0,0.0,0.0,18.0,0.0,0.0,12.0,64.0,7.0,2546
53033005600,1.0,67.0,9.0,0.0,218.0,4.0,0.0,86.0,18.0,1.0,1.0,1.0,0.0,182.0,0.0,0.0,0.0,0.0,411.0,1.0,56.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,14.0,2.0,1080
53033005700,9.0,91.0,11.0,0.0,207.0,4.0,0.0,162.0,12.0,9.0,0.0,1.0,0.0,173.0,0.0,0.0,0.0,0.0,840.0,4.0,79.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,25.0,8.0,1649
53033005801,4.0,184.0,17.0,0.0,212.0,7.0,0.0,160.0,55.0,20.0,4.0,1.0,0.0,106.0,0.0,0.0,0.0,0.0,655.0,3.0,132.0,0.0,0.0,0.0,22.0,0.0,0.0,10.0,37.0,9.0,1638
53033005802,4.0,269.0,8.0,0.0,383.0,5.0,0.0,224.0,79.0,15.0,2.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,797.0,1.0,163.0,0.0,0.0,0.0,23.0,0.0,0.0,5.0,60.0,17.0,2195
